,listing_id,state,user_id,category_id,title,description,creation_tsz,ending_tsz,original_creation_tsz,last_modified_tsz,price,currency_code,quantity,sku,tags,materials,shop_section_id,featured_rank,state_tsz,url,views,num_favorers,shipping_template_id,processing_min,processing_max,who_made,is_supply,when_made,item_weight,item_weight_unit,item_length,item_width,item_height,item_dimensions_unit,is_private,recipient,occasion,style,non_taxable,is_customizable,is_digital,file_data,should_auto_renew,language,has_variations,taxonomy_id,taxonomy_path,used_manufacturer,is_vintage
0,903174685,active,102484468,,"Extra Fine Crepe Paper by Lia Griffith, high quality crepe paper for flower making","Extra fine crepe paper by Lia Griffith in a set of gorgeous colours. This is a high-quality crepe paper designed for creating paper flowers. 

This is the type of paper I use myself to create the most delicate blooms and I have to say that is a wonderful paper to work with! This collection of colours work together beautifully and the two shades of green are my all-time favourite. 

The rolls are 25cm x 100cm and this extra fine crepe paper is lightweight with 130% stretch.

Colours available are Vanilla, Chiffon, Blush, Coral, Honeysuckle, Cranberry, Sangria, Aubergine, Green Tea and Cypress.

I offer individual rolls for you to create your own palette or you could use the set of 7 colours that will include: Chiffon, Coral, Honeysuckle, Cranberry, Sangria, Aubergine and Cypress. 

Thanks!
Rebeca",1606447356,1616811756,1605192792,1606447356,1.15,GBP,13,[],"['crepe paper', 'flower making', 'paper supplies', 'craft supplies', 'Blue paper', 'Paper flowers', 'Green', 'Paper Flower DIY', 'Lia Griffith paper', 'paper flower kit', 'fine crepe paper', 'pinks', 'crepe paper roll']",['Paper'],31176827.0,,1606073626,https://www.etsy.com/listing/903174685/extra-fine-crepe-paper-by-lia-griffith?utm_source=kristinafrazier2&utm_medium=api&utm_campaign=api,99,3,,3.0,5.0,someone_else,true,2020_2020,,g,,,,mm,False,,,,False,True,False,,True,en-US,True,6862,"['Craft Supplies & Tools', 'Floral & Garden Supplies', 'Floral', 'Flowers', 'Artificial Flowers']",False,False
1,176327610,active,5969038,,Gloria Doublette Double Sided Crepe Paper For Flower Making Made In Germany Turquoise And Royal Blue  #3320,"1 folded sheet of two-tone double sided Gloria Doublette crepe paper in turquoise and royal blue. Sheet measures 25 cm x 125 cm (which is 10&quot; by 49&quot;) and has 135% stretchability.  Made in Germany.  Made specifically for making paper flowers.

#3320",1606442671,1616807071,1390160489,1606442671,2.50,USD,4,[],"['germany', 'crepe paper', 'double sided', 'double sided crepe', 'double sided paper', 'german paper', 'flower making paper', 'double crepe paper', 'german crepe paper', 'flower making', 'gloria doublette', 'gloria paper', 'doublette paper']",['paper'],18775641.0,,1590590407,https://www.etsy.com/listing/176327610/gloria-doublette-double-sided-crepe?utm_source=kristinafrazier2&utm_medium=api&utm_campaign=api,1151,65,83825999912.0,1.0,3.0,someone_else,true,2001_2009,,oz,,,,in,False,,,,False,False,False,,False,en-US,False,562,['Craft Supplies & Tools'],False,False
2,912388969,active,5693855,,Vintage Style Cotton Batting Slipper Ornament,"This is a old style cotton ornament. The shoe is about 3 1/2 inches long not including the ribbon.  This slipper would look great on a feather tree or on a family tree for Christmas. 

Please refer to the last picture for the exact size

All items are shipped out within 5 days after purchase.",1606441404,1616805804,1606402913,1606444572,10.00,USD,1,[],"['miniature Christmas', 'old world Christmas', 'Feather tree', 'crêpe paper', 'victorian ornament', 'old style ornament', 'cotton batting', 'slipper', 'german glass glitter', 'mini tree topper', 'Table Top Tree']","['glue', 'crepe paper', 'ribbon', 'paper', 'tinsel garland', 'cotton batting']",5687333.0,,1606402914,https://www.etsy.com/listing/912388969/vintage-style-cotton-batting-slipper?utm_source=kristinafrazier2&utm_medium=api&utm_campaign=api,1,1,,3.0,5.0,i_did,false,2020_2020,,oz,,,,in,False,,,,False,False,False,,True,en-US,False,1857,"['Home & Living', 'Home Décor', 'Ornaments & Accents', 'Ornaments']",False,False
3,789412933,active,98884450,,Paper Flower 43,"A hand made paper flower created from the finest. Italian & German crepe paper. Archival & created to last for generations. Each flower is one of a kind with hand painted elements. Every petal is lovingly hand cut and formed. Stems are approximately 12 inches long. Each bloom, generally, measures 3-4 inches or more in circumference. Small blooms, such as this one, are aprox 2 in round. Multiple bloom flowers are aprox 1 in high and one inch wide. Greenery is hand cut, painted & formed. paintedA truly unique gift to encourage your loved ones. Flowers can be turned into corsages (with wrist or pin attachment)  for an added $5 fee. Ask about custom bouquets, funeral arrangements, wedding and other celebratory bouquets. A true piece of history to mark the significant events in your life or the life of your loved one. Bring encouragement, one handmade piece at a time & thank you for supporting small business!",1606435844,1616800244,1585090365,1606435844,15.00,USD,1,[],"['marymakesart', 'paper florist', 'wedding flower', 'paper flower', 'corsage', 'wedding', 'flower', 'floral', 'Italian crepe paper', 'bouquet', 'ranuculus', 'peony']",['Italian crepe paper'],28025564.0,,1594110808,https://www.etsy.com/listing/789412933/paper-flower-43?utm_source=kristinafrazier2&utm_medium=api&utm_campaign=api,4,0,85223199758.0,1.0,2.0,i_did,false,2020_2020,,oz,,,,in,False,,,,False,False,False,,True,en-US,False,1020,"['Home & Living', 'Home Décor', 'Floral Arrangements']",False,False
4,775528280,active,98884450,,Paper Flower 42,"A hand made paper flower created from the finest. Italian & German crepe paper. Archival & created to last for generations. Each flower is one of a kind with hand painted elements. Every petal is lovingly hand cut and formed. Stems are approximately 12 inches long. Each bloom, generally, measures 3-4 inches or more in circumference. Large blooms, such as this one, are aprox 5 in round. Multiple bloom flowers are aprox 1 in high and one inch wide. Greenery is hand cut, painted & formed. paintedA truly unique gift to encourage your loved ones. Flowers can be turned into corsages (with wrist or pin attachment)  for an added $5 fee. Ask about custom bouquets, funeral arrangements, wedding and other celebratory bouquets. A true piece of history to mark the significant events in your life or the life of your loved one. Bring encouragement, one handmade piece at a time & thank you for supporting small business!",1606435249,1616799649,1585090181,1606435249,22.00,USD,1,[],"['wedding', 'flower', 'peony', 'gift', 'floral', 'paper florist', 'bouquet', 'wedding flower', 'paper flower', 'Italian crepe paper']",['Italian crepe paper'],28025564.0,,1594110808,https://www.etsy.com/listing/775528280/paper-flower-42?utm_source=kristinafrazier2&utm_medium=api&utm_campaign=api,6,1,87240267558.0,3.0,5.0,i_did,false,2020_2020,,oz,,,,in,False,,,,False,False,False,,True,en-US,False,1020,"['Home & Living', 'Home Décor', 'Floral Arrangements']",False,False
5,637192735,active,163825612,,"Round Tissue Paper Lanterns 10 Pack ( Neptune Blue ) - with 8&quot;, 10&quot;, 12&quot;, 14&quot;, 16&quot; option","Set of 10 lanterns 

Available Size:
8&quot;
10&quot;
12&quot;
14&quot;
16&quot;


TEXTURE: ideal to cluster together to add lively beautiful texture and color to any space
DECORATIVE: Versatile and great to combine with other decorations, wide applications: weddings, reception, ceremony, birthdays, bbq, nursery, festival, party whether it be for something big or small these will deliver visually
EASY ASSEMBLY: 

https://wyzworks.freshdesk.com/support/solutions/articles/19000049364-paper-lanterns-how-to-assemble-",1606433448,1616797848,1534547090,1606433448,9.49,USD,51,"['LNTRN-8IN-PC021-NEPTUNEBLUE-10PK', 'LNTRN-12IN-PC021-NEPTUNEBLUE-10P', 'LNTRN-10IN-PC021-NEPTUNEBLUE-10P', 'LNTRN-14IN-PC021-NEPTUNEBLUE-10P', 'LNTRN-16IN-PC021-NEPTUNEBLUE-10P']","['background', 'Baby Shower', 'Birthday Party', 'Anniversary', 'Special Events', 'Tissue Paper Flowers', 'Pompoms', 'Decoration', 'crepe paper flowers', 'DIY handmade', 'wedding engagement', 'Wedding favors gift', 'Fan Medallion']","['Paper Tissue', 'String', 'honeycomb', 'paper lanterns', 'pompom']",24435361.0,,1543457774,https://www.etsy.com/listing/637192735/round-tissue-paper-lanterns-10-pack?utm_source=kristinafrazier2&utm_medium=api&utm_campaign=api,111,9,,1.0,2.0,someone_else,false,2010_2019,,oz,,,,in,False,,,,True,False,False,,True,en-US,True,1029,"['Home & Living', 'Home Décor', 'Wall Décor', 'Wall Hangings']",False,False
6,912635819,active,399017331,,Australian Native Paper Pink Waratah Leucadendron Geraldton Wax Flower Christmas Native rattan Wreath Home Front Door Decoration,"Being hand crafted using Italian crepe papers and cardstock paper, this Australian native rattan wreath will be a nice decoration to your house this Christmas.

Flower components including pink waratah, protea, leucadendron, Geraldton wax and eucalyptus leaves are carefully made then arranged to a 30cm diameter rattan wreath. 

This wreath has strong durability lasting years as long as being kept out of direct sunlight and humid areas.",1606433078,1616797478,1606432170,1606478467,80.00,AUD,1,[],"['native wreath', 'rattan wreath', 'native decoration', 'eucalyptus wreath', 'christmas decor', 'handmade wreath', 'crepe paper wreath']","['crepe papers', 'cardstock paper']",,,1606432239,https://www.etsy.com/listing/912635819/australian-native-paper-pink-waratah?utm_source=kristinafrazier2&utm_medium=api&utm_campaign=api,5,1,,1.0,2.0,i_did,false,2020_2020,,g,,,,mm,False,,,,False,False,False,,False,en-US,False,1930,"['Home & Living', 'Home Décor', 'Wreaths & Door Hangers', 'Wreaths']",False,False
7,809161757,active,8993462,,"ruffled crepe paper - robin&#39;s egg blue with green tinted edges - ruffled crepe streamer - for rosettes, decoration, and more","Offered here is a piece of ruffled crepe paper (your choice of length, pieces are offered individually).

Ruffled crepe streamer...approx 1.5&quot; to 1.625&quot; wide (see available lengths at checkout)

Perfect for holiday/party decor, shower favors, birthday parties, crepe rosettes, decorating paper snack cups/nut cups, paper doll dresses/collars, and more.

A double layer of robin&#39;s egg blue crepe paper with hand tinted edges (edges are tinted with just a hint of green).

NOTE - trim is stitched with the ends folded/glued under...must be tucked under/glued at the ends if you intend to cut into smaller pieces to prevent loss of ruffling.

Please see my SHOP POLICIES for information regarding combined shipping, returns/exchanges, and free shipping policy.

thanks for browsing!",1606425045,1616789445,1589469239,1606425045,12.50,USD,2,[],"['crepe paper', 'crepe streamer', 'ruffled crepe', 'gathered crepe', 'crepe rosette supply', 'holiday decor', 'party decor', 'shower decor', 'baby shower', 'free shipping', 'blue crepe', 'patina', 'verdigris']","['crepe paper', 'thread']",11638644.0,8.0,1589469239,https://www.etsy.com/listing/809161757/ruffled-crepe-paper-robins-egg-blue-with?utm_source=kristinafrazier2&utm_medium=api&utm_campaign=api,71,16,,3.0,5.0,i_did,true,2020_2020,,oz,,,,in,False,,,,False,False,False,,False,en-US,True,562,['Craft Supplies & Tools'],False,False
8,816744378,active,8993462,,"ruffled crepe paper - variegated hand dyed crepe paper ruffle for rosettes, decoration and more - ruffled crepe streamer, your choice length","Offered here is a piece of hand dyed ruffled crepe paper (pieces/rolls are offered individually by length).

Ruffled crepe streamer...approx 1.5&quot; to 1.75&quot; wide...lengths vary (select from available lengths when adding to cart), width varies slightly along the length (edges are uneven as shown).

A double layer of hand dyed ruffled paper, various colors back to back...color changes along the length.  Each piece varies as shown due as they are handmade/hand dyed.  Color saturation varies due to the hand dyeing process.

Perfect for holiday/party decor, shower favors, birthday parties, crepe rosettes, decorating paper snack cups/nut cups, paper doll dresses/collars, and more.

NOTE - trim is stitched with the ends folded/glued under...must be tucked under/glued at the ends if you intend to cut into smaller pieces to prevent loss of ruffling.

Please see my SHOP POLICIES for information regarding combined shipping, returns/exchanges, and free shipping policy.

thanks for browsing!",1606425045,1616789445,1593277299,1606425045,15.95,USD,9,[],"['crepe paper', 'crepe streamer', 'ruffled crepe', 'gathered crepe', 'crepe rosette supply', 'holiday decor', 'party decor', 'shower decor', 'free shipping', 'rainbow crepe', 'unicorn crepe', 'tie dye crepe paper', 'hand dyed crepe']","['crepe paper', 'thread', 'tint']",11638644.0,1.0,1603636512,https://www.etsy.com/listing/816744378/ruffled-crepe-paper-variegated-hand-dyed?utm_source=kristinafrazier2&utm_medium=api&utm_campaign=api,123,21,,3.0,5.0,i_did,true,2020_2020,,oz,,,,in,False,,,,False,False,False,,False,en-US,True,562,['Craft Supplies & Tools'],False,False
9,43387939,active,21841,,Handmade Crepe Fringe - Ivory,"Made from ivory colored crepe paper, this ultra-fluffy fringe trim is hand sewn and cut to resemble that of yesteryear. Use it to accent your crafts or altered art. Approximately 5/8&quot; wide, it can be trimmed shorter depending on your needs. Each strand is about 4 feet long. Other colors available. (Note: dye lot may vary slightly and packaging may vary from image shown.)",1606423166,1616787566,1269432850,1606423166,5.25,USD,3,[],"['crepe', 'paper', 'ivory', 'off white', 'white', 'fringe', 'festoon', 'garland', 'crepe paper']",['crepe paper'],5686530.0,,1606423166,https://www.etsy.com/listing/43387939/handmade-crepe-fringe-ivory?utm_source=kristinafrazier2&utm_medium=api&utm_campaign=api,490,60,16900219.0,1.0,3.0,i_did,true,made_to_order,,oz,,,,in,False,,,,False,True,False,,False,en-US,False,562,['Craft Supplies & Tools'],False,False
